Year,Kilometers_Driven,Mileage,Engine,Power,Seats,Price
2012,98000,24.54117647,1199,73.9,5,2.51
2015,60095,29.64705882,1248,74,5,4.75
2008,68000,21.33333333,1086,66.7,5,2
2010,81402,27.14666667,1197,78.9,5,2.1
2013,38000,22,1499,110,5,6.25
2011,92239,13.52941176,2987,210,5,10.6
2017,49224,29.64705882,1248,74,5,6
2004,12000,21.46666667,796,37,4,0.45
2010,54898,21.46666667,1298,88.2,5,2.5
2018,2500,20.38666667,1591,121.3,5,12.75
2017,32838,20.05882353,1995,190,5,30.29
2006,27076,18.4,1299,70,5,1.6
2017,75445,26.70588235,1498,89.84,5,7.54
2015,46601,27.64,1373,91.1,5,6.84
2012,72000,21.56470588,1968,167.7,5,6
2017,27000,32.11764706,1498,98.6,5,8
2016,68193,20.12941176,1968,174.33,5,24.74
2017,34429,28.23529412,1120,70,5,5.5
2013,46000,14.11764706,2987,224,7,36
2013,80544,15.28235294,2494,100.6,7,11.79
2011,42000,22.6,1498,97.7,5,3
2011,94821,23.52941176,1968,138.1,5,6.75
2006,100000,19.32,1399,92.7,5,1.4
2014,57000,28.47058824,1498,98.6,7,5.75
2010,79894,24.82352941,1248,73.9,5,3.4
2011,44748,21.96,1198,73.9,5,4.89
2013,31000,17.65333333,1598,102.5,5,4.95
2013,60587,22.64,998,66.1,5,3.49
2011,32000,27.75294118,1364,,5,3.85
2014,43772,22.66666667,1497,118,5,6.35
2017,23576,25.2,1197,82,5,7.08
2017,4000,16,1999,177,5,38
2012,62000,14.17647059,2179,120,8,6.25
2011,36000,15.65333333,1796,186,5,10.15
2014,80000,18.26666667,1798,157.75,5,10.75
2012,137008,21.29411765,1991,147.9,4,4.65
2010,61001,14.17647059,2179,120,8,4.75
2015,52191,22.8,1591,121.3,5,7.78
2016,77076,27.05882353,1396,90,5,6.75
2008,56000,21.86666667,1497,78,5,2.99
2013,21000,27.14666667,1197,78.9,5,2.35
2013,89429,30.35294118,1498,98.6,5,3.65
2012,45631,30,998,67.04,5,2.74
2013,53959,25.86666667,1198,86.8,5,3.5
2014,55804,22.66666667,1197,80,5,4.76
2016,25899,20.05333333,1598,103.2,5,6.2
2008,82000,22,1896,66,5,2.35
2014,52000,15.29411765,2143,204,5,24.5
2013,20000,17.65333333,1598,102.57,5,6
2017,31829,28.13333333,814,55.2,5,3.65
2016,18094,24.8,1197,85.8,5,6.26
2011,80000,22.94117647,1461,,5,2.1
2015,11964,15.55294118,2967,241.4,5,32.95
2018,22684,24.8,1197,81.83,5,7.8
2014,43521,25.86666667,1198,86.8,5,4.25
2014,49386,23.33333333,1298,85.8,5,4.86
2017,12248,25.2,1197,81.86,5,4.9
2014,67771,13.74117647,2498,112,8,7.06
2015,60007,22.94666667,1798,189,4,4.5
2011,48624,32.09333333,998,67.1,5,3.22
2014,30000,25.96470588,1199,73.9,5,3.25
2016,81605,25.2,1197,82,5,4.53
2017,32642,17.45882353,2143,170,5,34.78
2014,34200,20.98666667,1591,121.3,5,6.5
2010,72204,20.93333333,1172,67,5,2.25
2011,156347,15.28235294,2494,100,8,8
2017,47357,21.75294118,1493,100,7,8.37
2015,61738,23.69411765,1498,88.8,5,5.39
2018,32586,26.44705882,1995,190,5,37.3
2018,40129,13.61176471,2987,254.79,5,70.8
2012,51000,13.81176471,2987,254.8,5,22.25
2018,10393,25.2,1197,81.86,5,6.03
2011,46000,18.26666667,1798,157.75,5,4.9
2013,21000,22.6,1197,78.9,5,3.96
2011,113562,27.05882353,1396,90,5,4.6
2011,100010,14.17647059,2179,120,8,5.5
2013,63107,25.86666667,1198,86.8,5,3.25
2017,58500,24.8,1197,81.83,5,6.25
2007,90000,12.82352941,2499,143,7,3
2011,108242,19.76470588,1493,110,5,4.25
2011,146300,13.52941176,2982,171,7,12.25
2011,62943,20.05882353,1995,184,5,10.95
2013,65000,14.76470588,2982,168.5,7,16.5
2018,1700,25.33333333,1199,88.76,5,7.8
2013,34697,26.41333333,1086,68.05,5,3.7
2012,58000,22.66666667,1197,80,5,4
2015,32500,23.04705882,1995,187.74,5,26.75
2016,58661,17.84705882,1968,181,5,28.03
2017,37124,27.2,1197,81.8,5,5.44
2017,44000,28.53333333,1197,83.1,5,6.2
2005,45200,17.6,1495,94,5,0.9
2016,11000,24.66666667,1197,85.8,5,3.95
2011,65000,34.66666667,624,35,4,0.44
2012,55005,23.52941176,1399,68,5,2.75
2011,81650,21.56470588,1968,167.7,5,7.5
2010,160000,22.35294118,1248,93,5,2.5
2015,169000,17.58823529,2489,93.7,7,5
2013,67263,25.2,998,67.1,5,3.6
2012,44223,23.46666667,1496,88.7,5,3.99
2015,36840,25.2,1197,82,5,5.64
2014,160000,15.28235294,2494,100,8,12
2008,133000,19.76470588,1405,62,5,0.7
2015,69123,22.21176471,1995,184,5,19
2017,38000,12.83529412,3198,197,7,30.48
2017,5500,28.74666667,1462,103.25,5,8.2
2015,1001,30.38823529,1498,99,5,7.55
2007,59000,20.34666667,1150,74.9,5,0.99
2011,78256,22.4,1497,118,5,4.15
2016,90000,22.6,1498,97.6,5,6.2
2016,18000,25.46666667,1197,85.8,5,4.4
2012,60000,23.52941176,1399,68,5,2.1
2011,130000,23.88235294,1248,75,5,2.2
2018,32851,24.8,1197,81.86,5,8.34
2014,32000,27.52941176,1248,74,5,4.35
2014,62700,26.70588235,1498,89.84,5,6.8
2010,71000,22.70588235,1248,73.9,5,3.3
2016,19947,25.2,1197,82,5,5.04
2012,91000,13.41176471,2953,153.86,7,9.2
2014,74000,25.96470588,1199,73.9,5,5.7
2018,55594,21.75294118,1493,100,7,8.48
2013,58000,13.17647059,2993,306,4,48
2012,110224,22.36470588,1461,108.45,5,6.1
2010,21002,30,998,67.04,5,2.75
2017,121000,28.84705882,1248,88.5,7,8
2010,73513,26.26666667,796,46.3,5,1.85
2015,34000,27.34666667,998,67,5,3.85
2017,28371,20.13333333,1196,73,7,4.74
2013,74755,23.05882353,1461,108.45,5,5.63
2011,25805,24.26666667,1061,64,5,2.62
2015,82603,17.41333333,1598,102.53,5,4.9
2006,110000,18,1799,130,5,2.65
2012,88000,18.82352941,2179,140,7,5.99
2011,110000,24.70588235,1461,64.1,5,2.4
2017,15000,28.93333333,999,67,5,4.25
2013,70000,17.82352941,2967,240,5,40
2008,150000,33.41176471,1248,74,5,2.7
2016,19000,27.50666667,1198,67,5,2.99
2011,37442,24.66666667,1197,80,5,3.4
2016,63111,21.31764706,1995,190,5,30.8
2012,88000,24.43529412,1248,88.8,7,5.85
2014,42355,25.2,1197,82,5,4
2011,75871,12.57333333,2996,254,5,14.12
2011,65000,21.05882353,1998,163.7,5,4.55
2015,69000,,2987,165,5,38
2011,79232,24.82352941,1248,73.9,5,2.9
2007,220000,15.65333333,1796,186,5,6
2016,28470,24.8,1197,81.83,5,6.95
2014,9759,27.06666667,998,68.05,5,2.75
2014,75216,26.94117647,1248,74,5,5.1
2017,8000,24.8,1197,81.83,5,6.75
2014,59451,24.66666667,1197,85.8,5,3.69
2013,53996,26.94117647,1248,74,5,5.45
2018,15135,23.33333333,1199,88.7,5,9.29
2015,53000,22.53333333,1197,81.86,5,4
2013,40000,24,1198,86.7,5,2.9
2013,21107,22.8,1591,121.3,5,5.25
2014,56000,22.4,1497,116.3,5,5.75
2017,19623,20.38666667,1591,121.3,5,13.12
2014,70963,17.76470588,2179,140,7,7.83
2013,25755,26.6,998,58.16,5,3.15
2013,51450,15.05882353,2494,102,7,10.4
2012,75000,26.94117647,1248,74,5,4.35
2017,37832,30,998,67,5,5.23
2016,43041,25.2,1197,81.86,5,6.01
2014,97236,30.35294118,1498,98.6,5,4.4
2010,83000,18.90588235,1995,181,5,12.75
2011,65000,20.8,1196,70,5,2.4
2018,46007,22.66666667,1198,73.75,5,5.71
2015,65925,26.70588235,1498,89.84,5,5.49
2004,73500,17.33333333,1343,90,5,1.3
2014,55000,18.82352941,2179,140,7,8.5
2012,115000,15.29411765,2982,168.5,7,12.99
2017,31184,25.2,1197,81.86,5,5
2017,41747,33.41176471,1248,73.75,5,9
2016,38143,26.94117647,1248,74,5,5.22
2012,19030,21.96,1198,73.9,5,3.8
2019,20877,24.21333333,1197,78.9,5,7.27
2016,23555,29.33333333,1197,81.8,5,5.1
2013,29000,16.71764706,2143,203,5,29
2013,61000,25.2,998,67.1,5,2.9
2012,4187,34.66666667,624,35,4,1.38
2011,46000,17.86666667,1798,157.8,5,5.5
2016,28000,22.94666667,1197,103.5,5,7.25
2014,83558,26.25882353,1582,126.32,5,6.98
2017,40000,27,1248,74,5,5.25
2013,36000,28.13333333,814,55.2,5,1.95
2014,21000,20.12941176,1968,174.33,5,24.5
2013,62162,15.28235294,2494,100,7,8.31
2012,83000,13.81176471,2987,254.8,5,36
2015,58000,28.70588235,1120,71,5,5.5
2011,62332,15.6,2354,177.6,5,5.89
2016,50867,23.92941176,1498,103.2,5,7.95
2010,73000,22.66666667,1197,80,5,2.75
2012,98008,26.70588235,1582,126.24,5,6.25
2015,36000,23.52941176,1399,68.05,5,4.95
2019,27339,24.8,1197,81.83,5,6.27
2017,25000,28.11764706,1582,126.2,5,8.65
2014,37000,25.2,1197,82,5,3.5
2015,56000,16.65882353,1968,174.3,5,35
2015,27000,23.33333333,1298,85.8,5,4.45
2012,37000,24.66666667,1197,80,5,2.65
2017,10500,29.78823529,1198,77,5,4.7
2014,49000,21.44705882,1582,126.2,5,8.9
2017,7000,20.11764706,1956,170,5,17.45
2017,71256,28.58823529,1248,88.5,5,9.58
2012,83184,19.04,1798,138.03,5,6.22
2013,87284,17.76470588,2179,140,7,7.8
2016,7000,24.32941176,1995,190,5,27.75
2015,29000,26.51764706,1396,88.73,5,7
2017,33552,13.61176471,2987,254.79,5,64.87
2013,64000,20.35294118,1998,163.7,5,6.5
2011,82000,24.66666667,1197,80,5,2.7
2012,70000,25.86666667,1198,86.8,5,2.5
2013,166194,22.70588235,1461,84.8,7,3.9
2015,58000,21.96,1198,73.9,5,3.95
2010,77000,27.14666667,1197,78.9,5,2.1
2009,73204,21.29411765,1991,147.9,4,3.5
2007,70000,26.41333333,1086,68.05,5,2
2014,79870,24.43529412,1248,88.76,7,5.35
2013,90000,30.35294118,1498,98.6,5,3.8
2016,17000,20.66666667,1595,122,5,17.25
2018,46493,25.2,1197,81.86,5,5.53
2009,68000,27.14666667,1197,78.9,5,1.95
2017,2000,33.41176471,1248,74,5,8.2
1999,140000,17.33333333,1343,90,5,0.9
2013,255000,15.28235294,2494,100.6,7,6.5
2014,45535,28,1998,112,5,19.41
2016,39228,20.93333333,1368,112.4,5,6.58
2011,57000,19.32,1399,92.7,5,2.1
2008,85445,26.41333333,1086,68.05,5,2
2015,54000,28.70588235,1120,71,5,3.7
2014,53000,30.8,998,67.04,5,3.8
2014,60000,27.14666667,1197,78.9,5,3.25
2015,65668,23.37647059,1461,83.8,5,5.53
2011,100000,26.69411765,1995,190,5,10.9
2018,1800,25.2,1197,82,5,5.1
2007,96000,,999,,5,2.2
2009,44200,24,995,62,5,1.6
2018,14000,23.2,1497,117.3,5,11.25
2013,720000,24.16470588,1598,103.6,5,5.9
2012,73000,13.52941176,2982,169,7,14.4
2011,68000,22.66666667,1497,118,5,3.6
2017,19543,21.31764706,1995,190,5,40.5
2014,38000,16.65882353,1968,174.3,5,38.95
2014,32805,27.29411765,1248,73.94,5,3.6
2016,44782,24.95294118,1498,103.2,5,7.12
2016,55700,30.58823529,1498,98.6,5,7.52
2012,60000,17.88235294,1968,140.8,5,10.35
2014,56000,20,1598,103.52,5,7
2011,60000,13.52941176,2982,171,7,10.85
2010,78563,19.43529412,1991,123.7,5,2.35
2014,34669,20.13333333,1196,73,7,2.9
2017,17000,27.64,1373,91.1,5,7.65
2016,66000,33.04705882,1248,88.5,5,6.4
2014,102418,15.28235294,2494,100.6,7,10.1
2014,48800,25.46666667,1197,85.8,5,4.25
2019,10601,13.36470588,2755,171.5,7,19.65
2017,8200,29.41176471,1396,69,5,4.4
2012,100000,24.66666667,1197,82.85,5,3.25
2012,78000,20.94117647,1399,68,5,2.8
2015,50000,21.41176471,1248,73.74,8,4.3
2006,89327,20.94117647,1399,68,5,1.55
2007,98000,14.4,2354,152,5,4.7
2017,24700,24.93333333,1199,88.7,5,7.07
2018,6000,12.94117647,2987,258,7,79
2018,9434,25.2,1197,81.86,5,5.75
2012,29000,24.66666667,1197,85.8,5,3.25
2017,22440,25.88235294,1498,108.495,5,8.89
2015,73070,23.2,1497,117.3,5,5.9
2016,21771,24.93333333,1199,88.7,5,4.95
2014,62000,20.94117647,1248,75,5,3.75
2017,37024,20.01176471,1582,126.2,5,10.97
2014,60336,16.94117647,2967,241.4,5,24.94
2014,26008,28.13333333,814,55.2,5,1.97
2010,90000,23.52941176,1399,68,5,1.4
2018,35569,22.66666667,1198,73.75,5,7.27
2013,40000,25.45882353,1461,84.8,5,4
2015,45000,24.93333333,1199,88.7,5,4.75
2015,42000,22.66666667,1197,80,5,5.1
2012,46913,17.57647059,2967,241.4,5,16.11
2014,62000,13.15294118,2696,184,7,10.55
2017,15000,15.17647059,2755,174.5,7,30
2002,69000,22,1896,66,5,1.6
2012,41367,18.58823529,2148,170,5,18.49
2018,15982,27.64,1373,91.1,5,9.96
2013,99595,26.94117647,1248,74,5,4.75
2002,63000,15.41176471,2446,75,10,3.65
2012,49000,19.68235294,2495,218,5,15.5
2013,48272,12.35294118,2835,116.9,6,11.82
2008,63000,17.86666667,1794,125,5,2.05
2016,77000,26.6,998,58.16,5,3.3
2013,11734,22.4,796,34.2,8,2.25
2014,62012,20.8,1968,174.33,5,20.12
2017,46000,25,1197,81.86,5,4.95
2016,45449,32.11764706,1498,98.6,5,7.48
2004,85000,14,1796,157.7,5,5.5
2005,88000,17.33333333,1493,100,,1.7
2013,45330,19.47058824,1968,147.51,5,13.19
2012,88000,25.46666667,1197,85.8,5,3.85
2016,45376,33.41176471,1248,73.75,5,5.75
2014,81000,17.76470588,2179,140,7,9
2012,83381,24.8,1199,79.4,5,2.21
2017,78526,27.05882353,1498,98.96,5,8.09
2017,27313,17.28235294,2993,258,5,48.63
2015,42747,16.65882353,1968,174.3,5,39.47
2015,42265,24.32941176,1995,190,5,22.24
2009,21000,25.6,1197,80,5,2.6
2016,55100,20.01176471,1582,126.2,5,12
2014,70000,20.12941176,1968,174.33,5,18
2007,55000,13.50666667,3498,364.9,5,9.99
2012,58235,27.14666667,1197,78.9,5,2.45
2017,26000,27.05882353,1498,98.96,5,8.99
2011,35000,24.16470588,1598,103.6,5,3.15
2017,24000,33.41176471,1248,73.75,5,8.2
2016,98000,18.11764706,1997,120,7,11.5
2016,44487,26.51764706,1396,88.73,5,7.3
2008,65000,26.26666667,796,46.3,5,1.59
2015,34951,27.14666667,1197,78.9,5,3.15
2015,52373,18.11764706,2179,120,7,8.5
2010,66285,22.94117647,1199,75,5,3
2012,66000,18,2993,258,5,21
2016,43000,32.11764706,1498,98.6,5,7.75
2013,45200,11.76470588,2148,170,5,23
2016,41000,18.82352941,2179,140,7,13.75
2017,39430,24,1497,117.3,5,8.29
2014,83274,26.94117647,1248,74,5,5.79
2017,32324,17.45882353,2143,170,5,30.5
2011,49999,22.66666667,1497,118,5,3.8
2014,66000,18,2956,83.8,7,4.45
2012,54000,24.66666667,1197,82.85,5,3.3
2009,80000,24,1248,91.2,5,1.75
2011,72000,17.2,1799,130,5,5.5
2017,44865,23.14117647,1582,126.2,5,13.35
2017,22000,23.97647059,1968,143,5,22.5
2013,57478,22.66666667,1591,121.3,5,5.25
2011,75000,25.76470588,1396,90,5,3.75
2015,50624,28.47058824,1498,98.6,7,6.32
2018,75000,26.25882353,1582,126.32,5,7.75
2006,87000,20.4,1596,101,5,1.37
2010,62000,27.14666667,1197,78.9,5,2.1
2016,41372,28.58823529,1248,88.5,5,9.3
2015,70000,15.28235294,2494,100.6,7,12
2017,35000,21.05882353,2143,136,5,23.5
2006,71993,26.26666667,796,46.3,5,1.8
2013,62000,17.45882353,2143,170,5,12.5
2015,51000,26.94117647,1248,74,5,4.74
2016,26038,25.2,1197,82,5,5.43
2018,37713,14.76470588,2982,168.5,7,31.62
2011,78088,16.53333333,1998,132,8,6.3
2017,30453,26.78823529,1498,98.59,5,8.45
2016,54000,24.21333333,1196,86.8,5,5
2011,190000,13.52941176,2982,171,7,13
2012,65097,25.46666667,1197,85.8,5,4.7
2018,28060,16.06666667,2979,320,5,93.67
2012,282000,17.52,1798,160,5,3.3
2009,111000,25.2,1061,67,5,1.51
2013,63295,22.36470588,1461,108.45,5,6.09
2015,35770,27.64,1373,91.1,5,5.95
2012,125928,26.70588235,1582,126.24,5,9
2015,45000,25.48235294,1498,103.52,5,4.25
2013,21000,17.45882353,2143,170,5,23.5
2011,54774,15.6,2354,177.6,5,6.35
2014,41123,30.8,998,67.04,5,3.4
2017,17465,16.06666667,2979,320,5,93
2014,48000,26.69411765,1995,190,5,21.6
2011,173000,24.16470588,1598,103.6,5,4
2018,12000,27.52941176,1248,74,5,5.5
2012,34000,14.57647059,2179,147.51,5,19.25
2012,71360,25.76470588,1396,90,5,3.95
2012,74000,33.41176471,1248,73.75,5,4.25
2018,28937,20.11764706,1956,170,5,17.02
2012,82085,24.43529412,1248,88.76,7,6.5
2011,68465,20.8,1196,70,5,2.95
2013,63854,25.21176471,1364,86.79,5,7.12
2018,3000,28.58823529,1248,88.5,5,11.25
2009,65055,22.66666667,1497,118,5,2.75
2015,120000,18.11764706,2179,120,7,12
2014,64241,26.85333333,1197,81.86,5,3.67
2001,121000,17.64705882,2148,,5,5
2008,2200,20.93333333,1390,75,5,2.3
2008,88123,22,1896,66,5,2.2
2014,79000,14.11764706,2987,224,7,41
2016,28143,24.32941176,1995,190,5,28.5
2015,23001,20.05333333,1598,103.2,5,5.49
2013,82002,19.47058824,1968,147.51,5,17.5
2009,75000,16.23529412,1399,68,5,1.99
2016,37451,26.25882353,1582,126.3,5,6.64
2017,67000,16.09411765,2393,147.8,7,16.5
2016,25000,25.2,1197,82,5,5
2017,12000,22.66666667,1198,73.75,5,5.4
2017,25000,33.56,799,53.3,5,2.99
2011,95936,22.66666667,1497,118,5,4.1
2018,5354,25.2,1197,81.86,5,6.76
2016,42000,25.04,999,75,5,5.5
2014,44282,29.64705882,1248,74,5,5.99
2012,70000,25.45882353,1461,84.8,5,2.59
2013,31400,19.24705882,2179,187.7,5,26.75
2016,50000,33.04705882,1248,88.5,5,8.5
2011,53000,15.05882353,1968,167.6,5,23
2014,21727,20.8,1196,70.02,5,3.35
2012,43000,13.78823529,2199,194.3,7,10.75
2013,75000,14.17647059,2179,120,8,6.29
2014,73557,23.05882353,1461,108.45,5,7.75
2012,44555,17.88235294,1968,140.8,5,13.5
2013,54885,20.13333333,1196,73,7,3.75
2011,76000,16.47058824,2498,112,7,3.75
2006,101000,25.2,998,67.1,5,1.5
2005,66000,18.66666667,1061,64,5,1.45
2013,84360,20.66666667,1586,103.3,5,4.12
2016,25121,16.09411765,2393,147.8,7,17.11
2015,100000,15.28235294,2494,100.6,7,10.25
2011,66035,25.96470588,1199,73.9,5,2.49
2015,190000,22.37333333,1496,88.73,5,3.85
2014,85670,26.70588235,1498,89.84,5,6.25
2015,35000,28.23529412,1120,70,5,4.88
2016,8000,24,1497,117.3,5,9.45
2007,162000,15.05882353,2494,102,8,4.8
2012,60000,28.13333333,814,55.2,5,1.99
2010,70600,27.14666667,1197,78.9,5,2.8
2011,25000,16.4,1796,185,5,22
2012,75000,18.77647059,2523,62.1,7,4.3
2014,85071,23.52941176,1968,138.1,5,9.75
2015,40000,27.2,1197,81.8,5,5.9
2013,67000,19.47058824,1968,147.51,5,14.5
2009,55000,20.94117647,1399,68,5,2.4
2008,62000,20,1586,104.68,5,2.11
2017,22526,25.2,1197,82,5,7.6
2012,57788,22.88,1197,85.8,5,3.6
2013,72000,12.35294118,2179,120,8,6
2014,83128,18.11764706,2179,120,7,7.45
2011,75000,26.26666667,796,46.3,5,2.1
2013,58000,22.36470588,1461,108.45,5,5.2
2009,26000,,2498,,6,6.99
2017,1000,27.85333333,1197,81.8,5,6.36
2015,59751,15.28235294,2494,100.6,7,11.62
2015,29966,19.72941176,2993,261.49,5,43.6
2009,65000,16,1991,142,5,4.9
2015,75863,22.36470588,1461,108.45,5,6.7
2013,54000,33.54,998,67.04,5,3.05
2014,24000,20.12941176,1968,174.33,5,25
2018,33218,20.11764706,1956,170,5,19.05
2015,33425,23.24,1396,105.5,5,4.5
2013,47000,24,1198,86.7,5,4.15
2015,41000,23.14117647,1582,126.2,5,11.9
2011,62000,26.41333333,1086,68.05,5,2.1
2016,47035,21.75294118,1493,100,7,6.95
2008,56230,23.33333333,1298,85.8,5,2.4
2007,55000,17.6,1495,94,5,2.65
2014,70669,17.76470588,2179,140,7,9
2012,69000,27.89333333,998,67.1,5,2.1
2011,65000,24.8,1199,79.4,5,2.5
2009,30000,14.58823529,2698,179.5,5,8.95
2017,2000,24.35294118,1496,113.98,5,34
2011,24255,21.46666667,,,,3.15
2015,40000,23.42666667,1193,88.7,5,4
2014,40000,30.58823529,1498,98.6,5,4.45
2010,26000,24.8,1199,79.4,5,1.5
2011,105000,19.47058824,1968,140,5,14.5
2015,2800,30.70588235,1498,99,5,8.41
2014,71000,22.44705882,1582,126.32,5,5.45
2015,32896,24,1497,117.3,5,8.9
2012,45000,27.14666667,1197,78.9,5,3.65
2015,65000,21.83529412,1995,190,5,29
2013,45200,19.47058824,1968,147.51,5,13.5
2008,82167,13.46666667,2354,152,5,5.4
2016,37429,25.2,1197,81.86,5,5.89
2016,46000,33.04705882,1248,88.5,5,8.45
2011,67031,23.2,1497,117.3,5,4
2013,30000,11.2,2993,313,4,45
2016,47691,30.8,998,67.04,5,3.94
2011,32531,16.15294118,1995,148,5,8
2013,71336,23.52941176,1399,68,5,4.1
2006,196000,15.05882353,2494,102,7,6.25
2015,28193,33.41176471,1248,73.75,5,5.25
2019,2526,25.33333333,2996,362.07,2,83.96
2004,52146,,,,,1.93
2013,85000,18.94117647,1950,194,5,21
2015,20780,25.2,1197,81.86,5,4.3
2014,43081,23.06666667,1497,117.3,7,5.25
2010,35000,15.86666667,4806,550,5,32
2013,36000,20.24705882,1493,100,7,3.9
2007,67000,17.86666667,1794,125,5,2.2
2016,34079,29.78823529,1198,77,6,3.7
2010,77849,14.53333333,2497,215,5,11.27
2013,86000,30.32,796,47.3,5,2.41
2015,110000,18.50588235,1968,174.33,5,19
2015,116000,27.75294118,1364,67.05,5,5.8
2016,41840,17.76470588,2179,140,7,13.52
2015,19317,15.29411765,2982,168.7,7,24.5
2014,41000,24.6,1193,55.23,5,3.25
2017,25601,21.05882353,2143,201.15,5,56.73
2015,83950,23.14117647,1582,126.2,5,9.95
2012,60000,22.4,1497,118,5,5.5
2015,50000,20.12941176,1968,174.33,5,25
2009,37000,23.06666667,993,60,5,1
2011,76976,26.26666667,796,46.3,5,2.15
2018,21684,28.53333333,1197,83.1,5,7.89
2015,62000,18.82352941,2179,140,7,10.25
2007,1261,25.33333333,1194,94.68,5,6
2017,59450,24.8,1197,81.86,5,7.53
2018,24465,22.67058824,2143,167.62,5,39.45
2014,55000,23.73333333,1497,117.3,5,5.84
2017,2000,25.17333333,1499,110.4,5,8.65
2017,25040,28.53333333,1197,83.1,5,7.74
2008,84000,27.14666667,1197,78.9,5,2.5
2007,170428,15.05882353,2494,102,8,5.7
2016,12573,28.53333333,1197,83.1,5,5.8
2012,88000,14.2,2967,241.4,7,36.5
2012,86000,15.30588235,2199,194.3,7,9.5
2012,51019,,999,,5,3.48
2013,45000,22.66666667,1497,118,5,4.55
2012,51000,25.76470588,1396,90,5,3.9
2007,92000,16,2523,63,7,2.7
2017,29000,15.17647059,2755,174.5,7,31
2009,70521,14.53333333,2497,215,5,10.3
2010,51000,18.90588235,1995,181,5,7.75
2012,52618,25.2,998,67.1,5,3.2
2013,68000,29.96470588,1248,88.5,7,4.85
2016,29022,18.44705882,1999,177,5,34.08
2017,80000,28.84705882,1248,88.5,7,8.1
2016,78000,29.41176471,1396,69.01,5,2.35
2012,100000,27.89333333,998,67.1,5,1.8
2015,31412,28.13333333,814,55.2,5,3.42
2010,78000,13.41176471,2953,153.86,7,5.34
2018,14000,14.84705882,2198,158,7,31.99
2011,80000,24.16470588,1598,103.6,5,4.75
2014,46738,25.49333333,1373,91.1,5,6.1
2013,54884,28.13333333,814,55.2,5,3.69
2012,74500,16.65882353,1968,174.3,5,15
2016,67472,18.82352941,2179,140,7,14.5
2013,84000,33.41176471,1248,74,5,5.65
2011,77400,24.82352941,1248,73.9,5,2.5
2017,14470,23.18823529,2143,201.15,5,38.5
2014,52108,22.36470588,1461,108.45,5,5.49
2013,40000,25.46666667,1197,85.8,5,3.55
2014,105044,15.28235294,2494,100.6,7,10.75
2016,24347,21.06666667,1591,121.3,5,11
2014,58000,25.63529412,1248,88.73,5,4.5
2014,49663,17.76470588,2179,140,7,8.42
2017,17000,24,1497,117.3,5,11.6
2016,13418,19.24705882,2179,187.7,5,33.63
2008,117080,20.94117647,1399,68,5,2.25
2010,74000,14.4,2497,150,5,12.95
2010,86514,20.94117647,1248,,5,4.25
2014,66882,20.8,1968,174.33,5,25.02
2014,41460,24.66666667,1198,86.8,5,3.95
2011,57000,22.4,1497,118,5,4.4
2015,34010,21.96,1198,73.9,5,4.95
2010,96813,14.17647059,2179,120,8,5.5
2011,84000,22.4,1497,116.3,5,3.25
2013,50004,20,1598,103.5,5,4.02
2016,67995,18.82352941,2179,140,7,11.73
2012,55000,17.64705882,1896,105,5,9.5
2017,14900,28.53333333,1197,83.1,5,8.6
2013,70961,30.35294118,1498,98.6,5,4
2015,40194,20.05333333,1598,103.2,5,5.55
2015,96000,30.32,796,47.3,5,2.5
2017,35000,21.17647059,2993,255,7,41.6
2015,50000,24,1497,117.3,5,7.41
2014,50000,22.36470588,1461,108.5,5,6.5
2008,26299,26.26666667,796,46.3,5,1.2
2015,150386,16.75294118,2755,174.5,7,23
2012,60000,25.76470588,1396,90,5,2.74
2013,65000,23.52941176,1399,68,5,3.9
2017,80000,28.58823529,1248,88.5,5,8
2012,92000,26.25882353,1582,126.32,5,4
2016,13000,17.26666667,1999,152.88,5,17.75
2013,73278,24.82352941,1248,73.9,5,5.05
2011,38000,14.4,1984,132,5,12
2016,46936,15.29411765,2143,204,5,29.6
2015,55000,23.37647059,1461,83.8,5,6.5
2014,19000,20.66666667,1198,86.7,5,4.75
2016,42259,10.58823529,1984,181,5,24.36
2011,14000,23.33333333,1197,85.8,5,3.2
2016,16956,30,998,67.04,5,3.6
2017,15473,22.4,796,34.2,5,3.58
2011,75000,25.29411765,1248,88.8,5,2.5
2013,96000,27.64705882,1498,90,5,3.5
2015,25000,25.54666667,2494,158.2,5,25
2010,38000,30,998,67.04,5,1.75
2005,54000,12.94117647,2987,198.5,5,10
2018,4131,28.53333333,1197,83.1,5,7.75
2016,31700,24.93333333,1199,88.7,5,6.45
2017,66988,18.11764706,2179,120,7,10
2014,54230,21.96,1198,74,5,4.5
2015,35000,22.66666667,1197,80,5,3.4
2010,62714,16.13333333,2362,164.7,5,4.5
2015,45295,25.2,998,67.1,5,4.3
2018,7000,21.31764706,1995,190,5,46
2016,57000,32.09333333,998,67.1,5,3.4
2013,40100,17.45882353,2143,170,5,14.5
2013,56000,32.93333333,796,47.3,5,2.1
2012,15000,24.8,1197,85.8,5,3.65
2014,14000,24.26666667,1199,82.5,5,3
2009,68000,27.05882353,1396,90,5,3.95
2012,83000,14,2496,163.2,5,6.75
2013,81504,25.21176471,1364,87.2,5,6.53
2015,73500,15.29411765,2982,168.5,7,22
2013,52900,19.06666667,1598,103.52,5,4.75
2017,20000,22,1198,86.8,5,5.99
2011,46000,21.96,1198,73.9,5,3.05
